"BallotID","raiford"
"AB-0010+10137",1
"AB-0010+10143",1
"AB-0010+10155",1
"AB-0010+10177",1
"AB-0010+10201",0
"AB-0010+10243",1
"AB-0010+10271",1
"AB-0010+10281",1
"AB-0010+10283",0
"AB-0010+10303",1
"AB-0011+10003",1
"AB-0011+10043",1
"AB-0011+10075",1
"AB-0011+10085",0
"AB-0011+10135",1
"AB-0011+10171",1
"AB-0011+10183",1
"AB-0011+10187",1
"AB-0011+10209",1
"AB-0011+10217",1
"AB-0011+10219",1
"AB-0011+10225",1
"AB-0011+10241",1
"AB-0011+10243",1
"AB-0011+10251",1
"AB-0011+10313",0
"AB-0011+10323",0
"AB-0011+10399",1
"AB-0011+10467",0
"AB-0011+10485",0
"AB-0011+10577",1
"AB-0012+10003",0
"AB-0012+10005",0
"AB-0012+10039",0
"AB-0012+10077",0
"AB-0012+10107",1
"AB-0012+10133",1
"AB-0012+10135",1
"AB-0012+10141",0
"AB-0012+10147",0
"AB-0012+10173",1
"AB-0012+10179",1
"AB-0012+10193",1
"AB-0012+10205",1
"AB-0012+10213",0
"AB-0012+10243",0
"AB-0012+10275",0
"AB-0012+10283",0
"AB-0012+10389",1
"AB-0012+10411",1
"AB-0012+10415",1
"AB-0012+10423",0
"AB-0012+10453",1
"AB-0012+10481",0
"AB-0012+10485",1
"AB-0012+10517",1
"AB-0012+10535",1
"AB-0012+10541",1
"AB-0012+10567",0
"AB-0012+10581",1
"AB-0012+10639",1
"AB-0012+10661",1
"AB-0012+10679",1
"AB-0012+10685",1
"AB-0012+10687",1
"AB-0012+10697",1
"AB-0012+10699",0
"AB-0012+10705",1
"AB-0012+10727",1
"AB-0012+10765",1
"AB-0012+10771",1
"AB-0013+10003",0
"AB-0013+10023",1
"AB-0013+10031",0
"AB-0013+10047",0
"AB-0013+10075",1
"AB-0013+10079",1
"AB-0013+10095",1
"AB-0013+10107",1
"AB-0013+10119",0
"AB-0013+10149",1
"AB-0013+10171",1
"AB-0013+10203",0
"AB-0013+10341",1
"AB-0013+10357",1
"AB-0013+10359",1
"AB-0013+10385",1
"AB-0013+10451",1
"AB-0013+10471",1
"AB-0013+10487",1
"AB-0013+10495",1
"AB-0013+10501",1
"AB-0013+10679",1
"AB-0013+10683",1
"AB-0013+10721",1
"AB-0014+10017",1
"AB-0014+10031",1
"AB-0014+10033",1
"AB-0014+10059",1
"AB-0014+10067",1
"AB-0014+10075",1
"AB-0014+10081",0
"AB-0014+10097",1
"AB-0014+10103",1
"AB-0014+10107",1
"AB-0014+10121",0
"AB-0014+10131",0
"AB-0014+10147",1
"AB-0014+10201",0
"AB-0014+10213",1
"AB-0014+10219",1
"AB-0014+10253",1
"AB-0014+10255",1
"AB-0014+10265",1
"AB-0014+10273",1
"AB-0014+10275",1
"AB-0014+10289",1
"AB-0014+10293",0
"AB-0014+10297",1
"AB-0014+10317",1
"AB-0014+10321",1
"AB-0014+10335",1
"AB-0014+10359",1
"AB-0014+10387",1
"AB-0014+10389",0
"AB-0015+10047",0
"AB-0015+10049",0
"AB-0015+10063",0
"AB-0015+10107",1
"AB-0015+10143",0
"AB-0015+10147",1
"AB-0015+10227",0
"AB-0015+10307",1
"AB-0015+10323",1
"AB-0015+10339",1
"AB-0015+10461",0
"AB-0015+10471",1
"AB-0015+10497",1
"AB-0015+10517",1
"AB-0015+10529",0
"AB-0015+10597",1
"AB-0015+10673",0
"AB-0015+10683",1
"AB-0015+10763",1
"AB-0015+10797",1
"AB-0016+10067",1
"AB-0016+10135",0
"AB-0016+10141",1
"AB-0016+10171",1
"AB-0016+10191",0
"AB-0016+10225",1
"AB-0016+10249",1
"AB-0016+10279",1
"AB-0016+10291",0
"AB-0016+10335",1
"AB-0016+10361",1
"AB-0016+10365",1
"AB-0016+10377",1
"AB-0016+10429",0
"AB-0016+10433",0
"AB-0016+10459",0
"AB-0016+10473",1
"AB-0016+10483",1
"AB-0016+10489",0
"AB-0016+10531",1
"AB-0016+10579",1
"AB-0016+10595",1
"AB-0016+10619",1
"AB-0016+10625",1
"AB-0016+10627",1
"AB-0016+10675",0
"AB-0016+10681",1
"AB-0016+10743",1
"AB-0016+10751",0
"AB-0016+10787",0
"AB-0017+10031",1
"AB-0017+10073",0
"AB-0017+10089",1
"AB-0017+10091",0
"AB-0017+10133",1
"AB-0017+10213",1
"AB-0017+10231",0
"AB-0017+10239",1
"AB-0017+10263",0
"AB-0017+10359",0
"AB-0017+10393",0
"AB-0017+10401",0
"AB-0017+10419",0
"AB-0017+10429",1
"AB-0017+10529",0
"AB-0017+10535",0
"AB-0017+10675",0
"AB-0017+10719",0
"AB-0017+10763",1
"AB-0018+10003",1
"AB-0018+10085",1
"AB-0018+10089",0
"AB-0018+10107",0
"AB-0018+10187",1
"AB-0018+10193",1
"AB-0018+10201",1
"AB-0018+10293",1
"AB-0018+10301",1
"AB-0018+10315",1
"AB-0018+10323",0
"AB-0018+10427",1
"AB-0018+10625",1
"AB-0018+10631",0
"AB-0018+10671",1
"AB-0018+10681",0
"AB-0018+10743",1
"AB-0018+10767",0
"AB-0019+10023",0
"AB-0019+10103",1
"AB-0019+10125",0
"AB-0019+10199",0
"AB-0019+10215",1
"AB-0019+10227",1
"AB-0019+10287",0
"AB-0019+10315",0
"AB-0019+10337",1
"AB-0019+10355",0
"AB-0019+10365",1
"AB-0019+10449",0
"AB-0019+10483",1
"AB-0019+10501",0
"AB-0019+10517",0
"AB-0019+10545",0
"AB-0019+10665",1
"AB-0019+10667",1
"AB-0019+10693",1
"AB-0019+10725",1
"AB-0019+10733",1
"AB-0019+10775",1
"AB-0020+10007",0
"AB-0020+10019",0
"AB-0020+10023",0
"AB-0020+10029",1
"AB-0020+10049",1
"AB-0020+10065",0
"AB-0020+10123",0
"AB-0020+10269",0
"AB-0020+10299",1
"AB-0020+10415",1
"AB-0020+10431",1
"AB-0020+10487",0
"AB-0020+10525",1
"AB-0020+10549",1
"AB-0020+10609",0
"AB-0020+10627",1
"AB-0020+10629",1
"AB-0020+10643",0
"AB-0020+10651",1
"AB-0020+10659",0
"AB-0020+10683",0
"AB-0020+10751",0
"AB-0020+10757",0
"AB-0020+10765",0
"AB-0020+10789",0
"AB-0021+10015",1
"AB-0021+10019",0
"AB-0021+10155",0
"AB-0021+10175",1
"AB-0021+10193",1
"AB-0021+10207",1
"AB-0021+10227",1
"AB-0021+10269",0
"AB-0021+10311",0
"AB-0021+10325",0
"AB-0021+10373",0
"AB-0021+10483",1
"AB-0021+10549",1
"AB-0021+10625",0
"AB-0021+10633",1
"AB-0021+10643",0
"AB-0021+10655",0
"AB-0021+10667",1
"AB-0021+10701",1
"AB-0021+10723",1
"AB-0021+10795",0
"AB-0022+10027",1
"AB-0022+10037",1
"AB-0022+10143",1
"AB-0022+10169",1
"AB-0022+10197",1
"AB-0022+10199",1
"AB-0022+10329",0
"AB-0022+10347",1
"AB-0022+10423",1
"AB-0022+10431",1
"AB-0022+10503",1
"AB-0023+10097",0
"AB-0023+10183",1
"AB-0023+10189",1
"AB-0023+10319",0
"AB-0023+10363",0
"AB-0023+10365",0
"AB-0023+10377",0
"AB-0023+10587",1
"AB-0023+10591",1
"AB-0023+10623",1
"AB-0023+10685",1
"AB-0023+10689",1
"AB-0023+10797",1
"AB-0024+10003",0
"AB-0024+10101",1
"AB-0024+10113",0
"AB-0024+10291",1
"AB-0024+10347",1
"AB-0024+10359",0
"AB-0024+10363",0
"AB-0024+10369",1
"AB-0024+10413",0
"AB-0024+10505",0
"AB-0024+10561",1
"AB-0024+10597",1
"AB-0024+10601",0
"AB-0024+10641",1
"AB-0024+10669",0
"AB-0024+10691",1
"AB-0024+10705",1
"AB-0024+10707",1
"AB-0024+10715",0
"AB-0024+10731",0
"AB-0024+10775",0
"AB-0024+10781",1
"AB-0025+10099",1
"AB-0025+10191",0
"AB-0025+10199",0
"AB-0025+10219",1
"AB-0025+10233",0
"AB-0025+10253",0
"AB-0025+10261",1
"AB-0025+10267",0
"AB-0025+10273",1
"AB-0025+10277",0
"AB-0025+10287",0
"AB-0025+10365",1
"AB-0025+10371",1
"AB-0025+10395",0
"AB-0025+10469",1
"AB-0025+10497",1
"AB-0025+10505",1
"AB-0025+10511",0
"AB-0025+10517",0
"AB-0025+10571",1
"AB-0025+10577",1
"AB-0025+10617",1
"AB-0025+10629",0
"AB-0025+10649",0
"AB-0025+10653",0
"AB-0025+10659",0
"AB-0025+10717",0
"AB-0025+10753",0
"AB-0026+10087",1
"AB-0026+10159",1
"AB-0026+10191",1
"AB-0026+10217",1
"AB-0026+10223",1
"AB-0026+10309",0
"AB-0026+10311",1
"AB-0026+10323",0
"AB-0026+10333",0
"AB-0026+10421",0
"AB-0026+10441",1
"AB-0026+10449",0
"AB-0026+10451",1
"AB-0026+10455",1
"AB-0026+10487",0
"AB-0026+10511",0
"AB-0026+10513",0
"AB-0026+10539",1
"AB-0026+10637",0
"AB-0026+10721",0
"AB-0026+10759",1
"AB-0027+10025",1
"AB-0027+10045",1
"AB-0027+10067",1
"AB-0027+10105",1
"AB-0027+10111",1
"AB-0027+10117",1
"AB-0027+10123",1
"AB-0027+10129",1
"AB-0027+10147",1
"AB-0027+10153",1
"AB-0027+10177",0
"AB-0027+10183",1
"AB-0027+10211",1
"AB-0027+10221",0
"AB-0027+10231",1
"AB-0027+10235",1
"AB-0027+10275",1
"AB-0027+10329",1
"AB-0027+10371",0
"AB-0027+10381",1
"AB-0027+10499",1
"AB-0027+10525",1
"AB-0027+10539",1
"AB-0027+10561",0
"AB-0027+10591",1
"AB-0027+10605",0
"AB-0027+10651",0
"AB-0027+10665",0
"AB-0027+10675",1
"AB-0027+10681",1
"AB-0027+10701",0
"AB-0027+10719",1
"AB-0027+10737",1
"AB-0027+10747",1
"AB-0027+10759",1
"AB-0027+10779",1
"AB-0027+10795",1
"AB-0028+10027",1
"AB-0028+10049",1
"AB-0028+10161",0
"AB-0028+10173",0
"AB-0028+10197",1
"AB-0028+10203",1
"AB-0028+10233",0
"AB-0028+10245",1
"AB-0028+10247",0
"AB-0028+10255",1
"AB-0028+10297",0
"AB-0028+10313",1
"AB-0028+10317",0
"AB-0028+10327",0
"AB-0028+10347",0
"AB-0028+10427",1
"AB-0028+10437",1
"AB-0028+10507",0
"AB-0028+10639",1
"AB-0028+10657",1
"AB-0028+10677",1
"AB-0028+10683",1
"AB-0028+10691",1
"AB-0028+10723",0
"AB-0029+10043",0
"AB-0029+10163",1
"AB-0029+10167",0
"AB-0029+10183",1
"AB-0029+10225",1
"AB-0029+10309",0
"AB-0029+10327",0
"AB-0029+10427",0
"AB-0029+10503",0
"AB-0029+10529",0
"AB-0029+10533",0
"AB-0029+10541",0
"AB-0029+10563",1
"AB-0029+10607",1
"AB-0029+10775",1
"AB-0030+10075",0
"AB-0030+10109",1
"AB-0030+10227",0
"AB-0030+10275",0
"AB-0030+10429",1
"AB-0030+10439",0
"AB-0030+10445",0
"AB-0031+10007",1
"AB-0031+10031",0
"AB-0031+10075",0
"AB-0031+10163",1
"AB-0031+10171",0
"AB-0031+10177",1
"AB-0031+10201",1
"AB-0031+10207",1
"AB-0031+10229",0
"AB-0031+10231",0
"AB-0031+10247",0
"AB-0031+10273",1
"AB-0031+10291",1
"AB-0031+10329",1
"AB-0031+10333",0
"AB-0031+10339",0
"AB-0031+10419",1
"AB-0031+10455",1
"AB-0031+10461",0
"AB-0031+10511",1
"AB-0031+10539",0
"AB-0031+10555",1
"AB-0031+10569",1
"AB-0031+10739",1
"AB-0031+10745",1
"AB-0031+10747",0
"AB-0031+10777",1
"AB-0032+10011",1
"AB-0032+10019",1
"AB-0032+10105",1
"AB-0032+10175",0
"AB-0032+10179",0
"AB-0032+10229",1
"AB-0032+10255",1
"AB-0032+10257",1
"AB-0032+10271",1
"AB-0032+10339",1
"AB-0032+10347",1
"AB-0032+10409",1
"AB-0032+10421",1
"AB-0032+10435",1
"AB-0032+10463",1
"AB-0032+10469",0
"AB-0032+10483",1
"AB-0032+10489",0
"AB-0032+10519",1
"AB-0032+10529",1
"AB-0033+10031",1
"AB-0033+10035",1
"AB-0033+10095",1
"AB-0033+10121",0
"AB-0033+10155",1
"AB-0033+10189",1
"AB-0033+10219",0
"AB-0033+10277",0
"AB-0033+10307",1
"AB-0033+10345",1
"AB-0033+10519",1
"AB-0033+10525",0
"AB-0033+10547",0
"AB-0033+10565",1
"AB-0033+10617",1
"AB-0033+10711",1
"AB-0033+10751",1
"AB-0034+10003",0
"AB-0034+10021",1
"AB-0034+10029",1
"AB-0034+10037",0
"AB-0034+10061",0
"AB-0034+10067",1
"AB-0034+10115",1
"AB-0034+10139",1
"AB-0034+10293",0
"AB-0034+10325",1
"AB-0034+10341",1
"AB-0034+10345",0
"AB-0034+10365",0
"AB-0034+10369",1
"AB-0034+10383",1
"AB-0034+10405",1
"AB-0034+10449",1
"AB-0034+10459",0
"AB-0034+10619",0
"AB-0034+10733",0
"AB-0034+10749",0
"AB-0034+10767",0
"AB-0034+10799",0
"AB-0035+10019",0
"AB-0035+10029",1
"AB-0035+10033",1
"AB-0035+10055",1
"AB-0035+10099",1
"AB-0035+10101",0
"AB-0035+10111",1
"AB-0035+10113",1
"AB-0035+10125",1
"AB-0035+10139",1
"AB-0035+10157",1
"AB-0035+10179",1
"AB-0035+10193",0
"AB-0035+10197",1
"AB-0035+10225",1
"AB-0035+10261",1
"AB-0035+10291",1
"AB-0035+10331",1
"AB-0035+10335",1
"AB-0035+10347",1
"AB-0035+10349",1
"AB-0035+10361",1
"AB-0035+10363",1
"AB-0035+10365",1
"AB-0035+10375",1
"AB-0035+10377",1
"AB-0035+10385",0
"AB-0035+10391",1
"AB-0035+10415",1
"AB-0035+10465",1
"AB-0035+10489",1
"AB-0035+10505",1
"AB-0035+10511",0
"AB-0035+10513",1
"AB-0035+10515",1
"AB-0035+10531",1
"AB-0035+10545",1
"AB-0035+10557",1
"AB-0035+10559",1
"AB-0035+10615",1
"AB-0035+10621",0
"AB-0035+10631",1
"AB-0035+10671",1
"AB-0035+10683",1
"AB-0035+10701",1
"AB-0036+10041",1
"AB-0036+10055",1
"AB-0036+10211",0
"AB-0036+10253",0
"AB-0036+10259",0
"AB-0036+10269",0
"AB-0036+10383",0
"AB-0036+10393",0
"AB-0036+10435",1
"AB-0036+10465",0
"AB-0036+10507",0
"AB-0036+10571",1
"AB-0036+10593",1
"AB-0036+10659",1
"AB-0036+10751",1
"AB-0037+10035",0
"AB-0037+10041",0
"AB-0037+10105",1
"AB-0037+10193",0
"AB-0037+10199",1
"AB-0037+10217",1
"AB-0037+10221",1
"AB-0037+10227",1
"AB-0037+10257",1
"AB-0037+10263",1
"AB-0037+10363",1
"AB-0037+10415",1
"AB-0037+10423",0
"AB-0037+10431",1
"AB-0037+10443",0
"AB-0037+10523",1
"AB-0037+10525",0
"AB-0037+10569",0
"AB-0037+10575",0
"AB-0037+10591",0
"AB-0037+10641",0
"AB-0037+10667",0
"AB-0037+10671",1
"AB-0037+10673",1
"AB-0037+10731",0
"AB-0037+10773",0
"AB-0037+10785",1
"AB-0037+10791",0
"AB-0038+10171",0
"AB-0038+10177",1
"AB-0038+10221",1
"AB-0038+10231",1
"AB-0038+10243",1
"AB-0038+10259",0
"AB-0038+10301",1
"AB-0038+10311",1
"AB-0038+10337",1
"AB-0038+10341",1
"AB-0038+10347",1
"AB-0038+10381",0
"AB-0038+10407",1
"AB-0038+10409",1
"AB-0038+10433",1
"AB-0038+10503",0
"AB-0038+10565",1
"AB-0038+10583",1
"AB-0038+10619",1
"AB-0038+10653",1
"AB-0038+10665",0
"AB-0038+10713",1
"AB-0038+10735",1
"AB-0038+10783",0
"AB-0038+10797",1
"AB-0039+10009",1
"AB-0039+10017",1
"AB-0039+10099",1
"AB-0039+10117",1
"AB-0039+10131",1
"AB-0039+10139",1
"AB-0039+10217",0
"AB-0039+10289",1
"AB-0039+10401",0
"AB-0039+10409",0
"AB-0039+10449",1
"AB-0039+10459",1
"AB-0039+10505",1
"AB-0039+10509",1
"AB-0039+10525",0
"AB-0039+10577",1
"AB-0039+10579",1
"AB-0039+10583",1
"AB-0039+10587",0
"AB-0039+10647",1
"AB-0039+10653",1
"AB-0039+10659",1
"AB-0039+10681",1
"AB-0039+10717",1
"AB-0039+10761",1
"AB-0039+10799",0
"AB-0040+10085",1
"AB-0040+10097",0
"AB-0040+10099",0
"AB-0040+10105",1
"AB-0040+10109",1
"AB-0040+10117",1
"AB-0040+10119",1
"AB-0040+10147",1
"AB-0040+10155",1
"AB-0040+10159",0
"AB-0040+10161",0
"AB-0040+10187",1
"AB-0040+10191",1
"AB-0040+10199",1
"AB-0040+10337",1
"AB-0040+10345",1
"AB-0040+10413",1
"AB-0040+10491",0
"AB-0040+10499",1
"AB-0040+10519",0
"AB-0040+10527",1
"AB-0040+10547",1
"AB-0040+10567",1
"AB-0040+10617",1
"AB-0040+10637",0
"AB-0040+10727",0
"AB-0040+10759",1
"AB-0040+10775",1
"AB-0040+10785",0
"AB-0041+10009",0
"AB-0041+10013",1
"AB-0041+10039",0
"AB-0041+10063",0
"AB-0041+10121",1
"AB-0041+10147",1
"AB-0041+10237",0
"AB-0041+10281",1
"AB-0041+10291",1
"AB-0041+10337",1
"AB-0041+10347",1
"AB-0041+10391",1
"AB-0041+10471",1
"AB-0041+10525",0
"AB-0041+10549",0
"AB-0041+10671",0
"AB-0041+10675",0
"AB-0041+10685",0
"AB-0041+10689",0
"AB-0041+10749",1
"AB-0041+10785",1
"AB-0042+10067",0
"AB-0042+10131",0
"AB-0042+10167",1
"AB-0042+10177",1
"AB-0042+10193",1
"AB-0042+10215",1
"AB-0042+10285",1
"AB-0042+10295",0
"AB-0042+10311",0
"AB-0042+10345",1
"AB-0042+10375",0
"AB-0042+10585",1
"AB-0042+10601",0
"AB-0042+10637",0
"AB-0042+10659",0
"AB-0042+10667",1
"AB-0042+10731",1
"AB-0042+10757",1
"AB-0042+10773",0
"AB-0043+10011",0
"AB-0043+10023",1
"AB-0043+10053",0
"AB-0043+10099",1
"AB-0043+10105",1
"AB-0043+10111",1
"AB-0043+10167",1
"AB-0043+10205",0
"AB-0043+10269",1
"AB-0043+10281",1
"AB-0043+10283",1
"AB-0043+10287",1
"AB-0043+10291",1
"AB-0043+10311",0
"AB-0043+10315",0
"AB-0043+10317",1
"AB-0043+10319",1
"AB-0043+10331",0
"AB-0043+10433",1
"AB-0043+10457",1
"AB-0044+10009",0
"AB-0044+10057",1
"AB-0044+10145",0
"AB-0044+10173",0
"AB-0044+10215",0
"AB-0044+10241",1
"AB-0044+10253",1
"AB-0044+10255",1
"AB-0044+10299",1
"AB-0044+10369",1
"AB-0044+10371",1
"AB-0044+10385",1
"AB-0044+10389",1
"AB-0044+10459",1
"AB-0044+10501",0
"AB-0044+10555",1
"AB-0044+10557",0
"AB-0044+10635",0
"AB-0044+10653",1
"AB-0044+10677",0
"AB-0044+10699",1
"AB-0044+10701",0
"AB-0044+10731",1
"AB-0044+10739",1
"AB-0044+10761",1
"AB-0044+10769",1
"AB-0044+10781",0
"AB-0044+10787",0
"AB-0044+10799",1
"AB-0045+10037",0
"AB-0045+10053",0
"AB-0045+10095",1
"AB-0045+10149",1
"AB-0045+10159",1
"AB-0045+10253",1
"AB-0045+10297",0
"AB-0045+10321",0
"AB-0045+10345",1
"AB-0045+10353",1
"AB-0045+10405",1
"AB-0045+10431",0
"AB-0045+10481",0
"AB-0045+10485",1
"AB-0045+10497",0
"AB-0045+10503",1
"AB-0045+10505",1
"AB-0045+10605",0
"AB-0045+10629",0
"AB-0045+10633",0
"AB-0045+10641",1
"AB-0045+10657",1
"AB-0045+10669",0
"AB-0045+10755",1
"AB-0046+10045",1
"AB-0046+10079",1
"AB-0046+10145",1
"AB-0046+10167",1
"AB-0046+10199",1
"AB-0046+10213",1
"AB-0046+10223",1
"AB-0046+10255",1
"AB-0046+10337",1
"AB-0046+10373",0
"AB-0047+10043",1
"AB-0047+10047",1
"AB-0047+10049",0
"AB-0047+10055",1
"AB-0047+10087",1
"AB-0047+10147",0
"AB-0047+10215",1
"AB-0047+10217",0
"AB-0047+10271",1
"AB-0047+10325",1
"AB-0047+10327",1
"AB-0047+10373",1
"AB-0047+10437",1
"AB-0047+10461",1
"AB-0047+10465",1
"AB-0047+10469",0
"AB-0047+10471",1
"AB-0047+10517",1
"AB-0047+10525",1
"AB-0047+10575",1
"AB-0047+10579",1
"AB-0047+10629",0
"AB-0047+10651",0
"AB-0047+10667",0
"AB-0047+10675",1
"AB-0047+10713",1
"AB-0047+10715",1
"AB-0047+10717",1
"AB-0047+10733",1
"AB-0047+10777",1
"AB-0048+10041",1
"AB-0048+10079",1
"AB-0048+10099",0
"AB-0048+10145",1
"AB-0048+10191",1
"AB-0048+10193",1
"AB-0048+10227",1
"AB-0048+10257",0
"AB-0048+10293",0
"AB-0048+10349",1
"AB-0049+10193",1
"AB-0049+10245",1
"AB-0049+10283",1
"AB-0049+10289",1
"AB-0049+10319",1
"AB-0049+10329",0
"AB-0049+10409",1
"AB-0049+10451",1
"AB-0049+10507",1
"AB-0049+10527",0
"AB-0049+10671",0
"AB-0049+10689",1
"AB-0049+10691",1
"AB-0049+10693",1
"AB-0049+10789",0
"AB-0050+10011",1
"AB-0050+10013",0
"AB-0050+10031",1
"AB-0050+10041",0
"AB-0050+10123",1
"AB-0050+10147",1
"AB-0050+10173",1
"AB-0050+10181",1
"AB-0050+10187",1
"AB-0050+10191",0
"AB-0050+10197",1
"AB-0050+10203",1
"AB-0050+10221",1
"AB-0050+10277",1
"AB-0050+10301",1
"AB-0050+10319",1
"AB-0050+10329",1
"AB-0050+10351",1
"AB-0050+10431",0
"AB-0050+10449",1
"AB-0050+10457",0
"AB-0050+10467",1
"AB-0050+10475",1
"AB-0050+10493",1
"AB-0050+10505",1
"AB-0050+10511",1
"AB-0050+10545",0
"AB-0050+10593",0
"AB-0050+10629",1
"AB-0050+10649",0
"AB-0050+10657",1
"AB-0050+10691",1
"AB-0050+10705",1
"AB-0050+10719",1
"AB-0050+10743",1
"AB-0051+10035",1
"AB-0051+10057",0
"AB-0051+10081",0
"AB-0051+10097",0
"AB-0051+10101",1
"AB-0051+10111",1
"AB-0051+10143",1
"AB-0051+10151",1
"AB-0051+10153",1
"AB-0051+10187",0
"AB-0051+10197",1
"AB-0051+10225",1
"AB-0051+10239",1
"AB-0051+10249",0
"AB-0051+10283",1
"AB-0051+10323",0
"AB-0051+10351",1
"AB-0051+10397",1
"AB-0051+10401",1
"AB-0051+10413",1
"AB-0051+10453",0
"AB-0051+10485",1
"AB-0051+10487",1
"AB-0051+10489",1
"AB-0051+10511",1
"AB-0051+10579",1
"AB-0051+10583",1
"AB-0051+10605",1
"AB-0051+10607",1
"AB-0051+10679",1
"AB-0051+10697",1
"AB-0051+10699",1
"AB-0051+10707",0
"AB-0051+10745",1
"AB-0051+10767",0
"AB-0051+10785",1
"AB-0052+10005",1
"AB-0052+10013",1
"AB-0052+10045",1
"AB-0052+10077",1
"AB-0052+10111",1
"AB-0052+10133",1
"AB-0052+10145",1
"AB-0052+10151",1
"AB-0052+10159",1
"AB-0052+10169",1
"AB-0052+10179",1
"AB-0052+10187",1
"AB-0052+10191",1
"AB-0052+10193",1
"AB-0052+10203",1
"AB-0052+10223",1
"AB-0052+10227",1
"AB-0052+10237",1
"AB-0052+10241",1
"AB-0052+10245",1
"AB-0052+10289",1
"AB-0052+10301",1
"AB-0052+10327",1
"AB-0052+10331",1
"AB-0052+10337",1
"AB-0052+10361",1
"AB-0052+10377",1
"AB-0052+10383",1
"AB-0052+10387",1
"AB-0052+10389",1
"AB-0052+10459",1
"AB-0052+10465",1
"AB-0052+10471",1
"AB-0052+10481",1
"AB-0052+10485",1
"AB-0052+10511",1
"AB-0052+10521",1
"AB-0052+10523",1
"AB-0052+10539",1
"AB-0052+10543",0
"AB-0052+10551",1
"AB-0052+10559",1
"AB-0052+10581",1
"AB-0052+10597",1
"AB-0052+10637",1
"AB-0052+10695",1
"AB-0052+10697",1
"AB-0052+10699",1
"AB-0052+10703",1
"AB-0052+10707",0
"AB-0052+10735",1
"AB-0052+10745",0
"AB-0052+10753",1
"AB-0052+10755",1
"AB-0053+10035",1
"AB-0053+10067",1
"AB-0053+10085",1
"AB-0053+10095",1
"AB-0053+10097",1
"AB-0053+10113",1
"AB-0053+10117",0
"AB-0053+10123",1
"AB-0053+10139",1
"AB-0053+10163",1
"AB-0053+10201",1
"AB-0053+10215",1
"AB-0053+10239",1
"AB-0053+10243",1
"AB-0053+10245",1
"AB-0053+10295",1
"AB-0053+10329",1
"AB-0053+10339",1
"AB-0053+10395",0
"AB-0053+10421",1
"AB-0053+10435",1
